floor, building, overlap, percentage_relgain_error
-1,0,1,85.326
-1,0,2,85.326
-1,0,3,85.326
-1,0,4,85.326
-1,0,5,85.326
0,0,1,88.355
0,0,2,88.355
0,0,3,88.355
0,0,4,88.355
0,0,5,88.355
1,0,1,94.004
1,0,2,94.004
1,0,3,94.004
1,0,4,94.004
1,0,5,94.004
2,0,1,100.6
2,0,2,100.6
2,0,3,100.6
2,0,4,100.6
2,0,5,100.6
3,0,1,82.24
3,0,2,82.24
3,0,3,82.24
3,0,4,82.24
3,0,5,82.24
-1,1,1,144.29
-1,1,2,143.99
-1,1,3,143.32
-1,1,4,142.63
-1,1,5,141.65
0,1,1,123.06
0,1,2,123.45
0,1,3,123.44
0,1,4,123.11
0,1,5,123.38
1,1,1,90.827
1,1,2,90.827
1,1,3,90.827
1,1,4,90.827
1,1,5,90.827
2,1,1,87.333
2,1,2,87.333
2,1,3,87.333
2,1,4,87.333
2,1,5,87.333
3,1,1,150.21
3,1,2,147.92
3,1,3,144.56
3,1,4,140.93
3,1,5,135.52
-1,2,1,110.89
-1,2,2,110.89
-1,2,3,110.9
-1,2,4,110.99
-1,2,5,111.06
0,2,1,76.165
0,2,2,76.183
0,2,3,76.202
0,2,4,76.436
0,2,5,76.641
1,2,1,92.771
1,2,2,92.771
1,2,3,92.771
1,2,4,92.771
1,2,5,92.771
2,2,1,89.13
2,2,2,89.13
2,2,3,89.13
2,2,4,89.13
2,2,5,89.13
3,2,1,98.596
3,2,2,98.596
3,2,3,98.596
3,2,4,98.596
3,2,5,98.596
