floor, building, min_AP_strength, percentage_relgain_error
-1,0,-100,56.879
-1,0,-90,61.389
-1,0,-80,69.456
-1,0,-70,80.709
0,0,-100,55.506
0,0,-90,60.06
0,0,-80,65.934
0,0,-70,80.287
1,0,-100,57.317
1,0,-90,60.224
1,0,-80,72.273
1,0,-70,82.159
2,0,-100,50.455
2,0,-90,53.239
2,0,-80,57.312
2,0,-70,67.893
3,0,-100,52.73
3,0,-90,56.24
3,0,-80,67.388
3,0,-70,80.042
-1,1,-100,232.73
-1,1,-90,221.89
-1,1,-80,149.28
-1,1,-70,118.81
0,1,-100,215.03
0,1,-90,230.2
0,1,-80,130.48
0,1,-70,89.366
1,1,-100,84.376
1,1,-90,84.116
1,1,-80,91.646
1,1,-70,93.831
2,1,-100,94.812
2,1,-90,88.854
2,1,-80,107.88
2,1,-70,95.515
3,1,-100,125.28
3,1,-90,106.54
3,1,-80,97.179
3,1,-70,89.34
-1,2,-100,231.34
-1,2,-90,218.8
-1,2,-80,183.9
-1,2,-70,NaN
0,2,-100,58.795
0,2,-90,68.288
0,2,-80,92.146
0,2,-70,104.37
1,2,-100,68.921
1,2,-90,65.966
1,2,-80,76.394
1,2,-70,97.389
2,2,-100,384.2
2,2,-90,363.55
2,2,-80,281.94
2,2,-70,170.14
3,2,-100,169.79
3,2,-90,195.88
3,2,-80,183.41
3,2,-70,220.33
