floor, building, num_strongest, min_strong_overlap, percentage_relgain_error
-1,0,2,2,100
-1,0,3,2,30.504
-1,0,3,3,100
-1,0,4,2,33.338
-1,0,4,3,25.53
-1,0,4,4,100
-1,0,5,2,40.046
-1,0,5,3,32.118
-1,0,5,4,18.519
-1,0,5,5,100
-1,0,7,2,46.875
-1,0,7,3,44.105
-1,0,7,4,35.389
-1,0,7,5,25.643
-1,0,7,6,26.195
-1,0,10,2,53.554
-1,0,10,3,50.329
-1,0,10,4,52.357
-1,0,10,5,50.773
-1,0,10,6,47.983
0,0,2,2,100
0,0,3,2,32.393
0,0,3,3,100
0,0,4,2,28.713
0,0,4,3,29.077
0,0,4,4,100
0,0,5,2,41.791
0,0,5,3,29.577
0,0,5,4,45.368
0,0,5,5,100
0,0,7,2,29.75
0,0,7,3,34.764
0,0,7,4,30.712
0,0,7,5,13.046
0,0,7,6,37.664
0,0,10,2,45.183
0,0,10,3,43.956
0,0,10,4,43.128
0,0,10,5,39.755
0,0,10,6,38.527
1,0,2,2,100
1,0,3,2,37.038
1,0,3,3,100
1,0,4,2,31.747
1,0,4,3,28.887
1,0,4,4,100
1,0,5,2,38.995
1,0,5,3,35.59
1,0,5,4,31.288
1,0,5,5,100
1,0,7,2,50.759
1,0,7,3,41.717
1,0,7,4,34.228
1,0,7,5,36.214
1,0,7,6,40.385
1,0,10,2,51.068
1,0,10,3,49.439
1,0,10,4,48.494
1,0,10,5,43.32
1,0,10,6,40.632
2,0,2,2,100
2,0,3,2,9.041
2,0,3,3,100
2,0,4,2,16.754
2,0,4,3,13.028
2,0,4,4,100
2,0,5,2,20.512
2,0,5,3,18.327
2,0,5,4,8.6002
2,0,5,5,100
2,0,7,2,25.52
2,0,7,3,24.643
2,0,7,4,22.38
2,0,7,5,16.994
2,0,7,6,20.64
2,0,10,2,23.166
2,0,10,3,17.452
2,0,10,4,24.815
2,0,10,5,27.318
2,0,10,6,27.551
3,0,2,2,100
3,0,3,2,23.718
3,0,3,3,100
3,0,4,2,24.956
3,0,4,3,23.685
3,0,4,4,100
3,0,5,2,34.8
3,0,5,3,25.884
3,0,5,4,17.62
3,0,5,5,100
3,0,7,2,34.204
3,0,7,3,39.197
3,0,7,4,26.66
3,0,7,5,16.54
3,0,7,6,17.347
3,0,10,2,51.878
3,0,10,3,50.987
3,0,10,4,49.791
3,0,10,5,48.376
3,0,10,6,37.352
-1,1,2,2,100
-1,1,3,2,186.11
-1,1,3,3,100
-1,1,4,2,293.21
-1,1,4,3,213.08
-1,1,4,4,100
-1,1,5,2,333.5
-1,1,5,3,225.62
-1,1,5,4,131.95
-1,1,5,5,100
-1,1,7,2,338.07
-1,1,7,3,326.91
-1,1,7,4,258.28
-1,1,7,5,218.15
-1,1,7,6,154.47
-1,1,10,2,256.48
-1,1,10,3,276.22
-1,1,10,4,306.76
-1,1,10,5,278.38
-1,1,10,6,223.22
0,1,2,2,100
0,1,3,2,88.376
0,1,3,3,100
0,1,4,2,57.249
0,1,4,3,62.064
0,1,4,4,100
0,1,5,2,357.55
0,1,5,3,69.135
0,1,5,4,102.46
0,1,5,5,100
0,1,7,2,362.94
0,1,7,3,343.1
0,1,7,4,320.23
0,1,7,5,238.28
0,1,7,6,92.175
0,1,10,2,357.61
0,1,10,3,287.99
0,1,10,4,285.53
0,1,10,5,284.43
0,1,10,6,278.93
1,1,2,2,100
1,1,3,2,69.109
1,1,3,3,100
1,1,4,2,73.956
1,1,4,3,81.506
1,1,4,4,100
1,1,5,2,84.975
1,1,5,3,71.767
1,1,5,4,80.479
1,1,5,5,100
1,1,7,2,102.63
1,1,7,3,73.244
1,1,7,4,72.383
1,1,7,5,59.828
1,1,7,6,79.703
1,1,10,2,100.35
1,1,10,3,94.826
1,1,10,4,88.656
1,1,10,5,64.807
1,1,10,6,56.536
2,1,2,2,100
2,1,3,2,35.406
2,1,3,3,100
2,1,4,2,81.466
2,1,4,3,34.21
2,1,4,4,100
2,1,5,2,125.38
2,1,5,3,41.886
2,1,5,4,49.391
2,1,5,5,100
2,1,7,2,196.48
2,1,7,3,64.17
2,1,7,4,56.49
2,1,7,5,39.963
2,1,7,6,55.458
2,1,10,2,175.93
2,1,10,3,207.14
2,1,10,4,183.62
2,1,10,5,117.13
2,1,10,6,38.877
3,1,2,2,100
3,1,3,2,48.773
3,1,3,3,100
3,1,4,2,56.428
3,1,4,3,49.442
3,1,4,4,100
3,1,5,2,117.67
3,1,5,3,64.407
3,1,5,4,64.11
3,1,5,5,100
3,1,7,2,118.93
3,1,7,3,107.54
3,1,7,4,127.38
3,1,7,5,64.07
3,1,7,6,70.089
3,1,10,2,179.76
3,1,10,3,216.19
3,1,10,4,196.5
3,1,10,5,129.29
3,1,10,6,126.96
-1,2,2,2,100
-1,2,3,2,376.62
-1,2,3,3,100
-1,2,4,2,371.52
-1,2,4,3,245.48
-1,2,4,4,100
-1,2,5,2,397.94
-1,2,5,3,289.72
-1,2,5,4,227.08
-1,2,5,5,100
-1,2,7,2,383.74
-1,2,7,3,377.41
-1,2,7,4,318.47
-1,2,7,5,254.62
-1,2,7,6,235.3
-1,2,10,2,409.53
-1,2,10,3,387.55
-1,2,10,4,347.2
-1,2,10,5,328.51
-1,2,10,6,287.02
0,2,2,2,100
0,2,3,2,33.517
0,2,3,3,100
0,2,4,2,41.312
0,2,4,3,50.403
0,2,4,4,100
0,2,5,2,70.877
0,2,5,3,59.222
0,2,5,4,60.297
0,2,5,5,100
0,2,7,2,73.529
0,2,7,3,63.233
0,2,7,4,57.796
0,2,7,5,50.374
0,2,7,6,53.763
0,2,10,2,84.055
0,2,10,3,84.175
0,2,10,4,81.116
0,2,10,5,85.688
0,2,10,6,77.662
1,2,2,2,100
1,2,3,2,67.533
1,2,3,3,100
1,2,4,2,68.156
1,2,4,3,48.017
1,2,4,4,100
1,2,5,2,67.308
1,2,5,3,57.459
1,2,5,4,51.746
1,2,5,5,100
1,2,7,2,65.538
1,2,7,3,54.672
1,2,7,4,43.52
1,2,7,5,43.629
1,2,7,6,45.122
1,2,10,2,61.381
1,2,10,3,63.503
1,2,10,4,60.627
1,2,10,5,58.677
1,2,10,6,58.133
2,2,2,2,100
2,2,3,2,153.33
2,2,3,3,100
2,2,4,2,574.28
2,2,4,3,9.1599
2,2,4,4,100
2,2,5,2,1072.1
2,2,5,3,147.37
2,2,5,4,25.355
2,2,5,5,100
2,2,7,2,818.95
2,2,7,3,859.01
2,2,7,4,900.08
2,2,7,5,58.581
2,2,7,6,88.106
2,2,10,2,453.26
2,2,10,3,665.96
2,2,10,4,549.41
2,2,10,5,754.54
2,2,10,6,469.13
3,2,2,2,100
3,2,3,2,361.84
3,2,3,3,100
3,2,4,2,427.14
3,2,4,3,46.867
3,2,4,4,100
3,2,5,2,459.06
3,2,5,3,255.62
3,2,5,4,77.392
3,2,5,5,100
3,2,7,2,345.14
3,2,7,3,403.72
3,2,7,4,419.74
3,2,7,5,34.667
3,2,7,6,45.63
3,2,10,2,213.18
3,2,10,3,281.39
3,2,10,4,357.16
3,2,10,5,359.32
3,2,10,6,282.64
