floor,building,num_strongest_APs, min_AP_strength, min_strong_overlap, correct, missed, false
0,0,4,-100,3,989,4244,7943
1,0,4,-100,3,1072,5749,7921
2,0,4,-100,3,935,6497,7969
3,0,4,-100,3,2535,4580,38213
4,0,4,-100,3,0,0,0
0,1,4,-100,3,917,5905,19724
1,1,4,-100,3,2580,8450,17738
2,1,4,-100,3,3335,3225,21317
3,1,4,-100,3,2022,2541,14424
4,1,4,-100,3,0,0,0
0,2,4,-100,3,3358,16476,27536
1,2,4,-100,3,2307,16994,18235
2,2,4,-100,3,1523,6517,13654
3,2,4,-100,3,3980,18159,65716
4,2,4,-100,3,250,4550,7800
